"","Date","Asia_atm ","Asia_conf ","Asia_deaths ","Asia_incidence ","Asia_recovered ","Europe_atm ","Europe_conf ","Europe_deaths ","Europe_incidence ","Europe_recovered ","Africa_atm ","Africa_conf ","Africa_deaths ","Africa_incidence ","Africa_recovered ","Oceania_atm ","Oceania_conf ","Oceania_deaths ","Oceania_incidence ","Oceania_recovered ","North America_atm ","North America_conf ","North America_deaths ","North America_incidence ","North America_recovered ","South America_atm ","South America_conf ","South America_deaths ","South America_incidence ","South America_recovered "
"1",2020-01-23,622,652,18,0.0276073619631902,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"2",2020-01-24,899,935,26,0.027807486631016,36,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"3",2020-01-25,1385,1424,42,0.0294943820224719,39,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"4",2020-01-26,2046,2098,56,0.0266920877025739,52,3,3,0,0,0,4,4,0,0,0,4,4,0,0,0,1,1,0,0,0,5,5,0,0,0
"5",2020-01-27,2843,2904,82,0.028236914600551,61,4,4,0,0,0,4,4,0,0,0,5,5,0,0,0,1,1,0,0,0,5,5,0,0,0
"6",2020-01-28,5443,5550,131,0.0236036036036036,107,8,8,0,0,0,4,4,0,0,0,5,5,0,0,0,2,2,0,0,0,5,5,0,0,0
"7",2020-01-29,6002,6128,133,0.0217036553524804,126,14,14,0,0,0,7,7,0,0,0,6,6,0,0,0,2,2,0,0,0,5,5,0,0,0
"8",2020-01-30,8051,8192,171,0.0208740234375,141,14,14,0,0,0,8,8,0,0,0,7,9,0,0,2,2,2,0,0,0,5,5,0,0,0
"9",2020-01-31,9648,9868,213,0.0215849209566275,220,20,20,0,0,0,8,8,0,0,0,7,9,0,0,2,4,4,0,0,0,7,7,0,0,0
"10",2020-02-01,11687,11969,259,0.0216392346896148,282,25,25,0,0,0,8,8,0,0,0,10,12,0,0,2,4,4,0,0,0,8,8,0,0,0
"11",2020-02-02,16242,16712,362,0.021661081857348,470,28,28,0,0,0,8,8,0,0,0,10,12,0,0,2,4,4,0,0,0,8,8,0,0,0
"12",2020-02-03,19186,19807,426,0.0215075478366234,621,30,30,0,0,0,8,8,0,0,0,10,12,0,0,2,4,4,0,0,0,11,11,0,0,0
"13",2020-02-04,22963,23813,492,0.0206609834964095,850,31,31,0,0,0,10,10,0,0,0,11,13,0,0,2,4,4,0,0,0,11,11,0,0,0
"14",2020-02-05,26430,27552,564,0.0204703832752613,1122,31,31,0,0,0,12,12,0,0,0,11,13,0,0,2,5,5,0,0,0,11,11,0,0,0
"15",2020-02-06,29221,30706,634,0.0206474304696151,1485,31,31,0,0,0,12,12,0,0,0,12,14,0,0,2,5,5,0,0,0,11,11,0,0,0
"16",2020-02-07,32225,34232,719,0.0210037391913999,2007,33,33,0,0,0,11,12,0,0,1,13,15,0,0,2,7,7,0,0,0,11,11,0,0,0
"17",2020-02-08,34343,36955,806,0.0218103098362874,2612,40,40,0,0,0,15,16,0,0,1,13,15,0,0,2,7,7,0,0,0,11,11,0,0,0
"18",2020-02-09,36744,39979,906,0.0226618974961855,3235,42,42,0,0,0,15,16,0,0,1,13,15,0,0,2,7,7,0,0,0,8,11,0,0,3
"19",2020-02-10,38575,42512,1013,0.0238285660519383,3937,43,43,0,0,0,17,18,0,0,1,13,15,0,0,2,7,7,0,0,0,8,11,0,0,3
"20",2020-02-11,39878,44550,1113,0.024983164983165,4672,45,45,0,0,0,15,18,0,0,3,13,15,0,0,2,7,7,0,0,0,9,12,0,0,3
"21",2020-02-12,39800,44928,1118,0.0248842592592593,5128,39,45,0,0,6,15,18,0,0,3,13,15,0,0,2,6,7,0,0,1,9,12,0,0,3
"22",2020-02-13,53813,60079,1371,0.022819953727592,6266,38,45,0,0,7,16,19,0,0,3,7,15,0,0,8,6,7,0,0,1,10,13,0,0,3
"23",2020-02-14,58533,66562,1523,0.0228809230491872,8029,38,45,0,0,7,17,20,0,0,3,7,15,0,0,8,6,7,0,0,1,10,13,0,0,3
"24",2020-02-15,59279,68633,1665,0.0242594670202381,9354,33,46,1,0.0217391304347826,13,16,23,0,0,7,7,15,0,0,8,6,7,0,0,1,10,13,0,0,3
"25",2020-02-16,59922,70745,1769,0.0250053007279666,10823,33,47,1,0.0212765957446809,14,16,23,0,0,7,7,15,0,0,8,6,7,0,0,1,10,13,0,0,3
"26",2020-02-17,60142,72679,1867,0.0256883006095296,12537,32,47,1,0.0212765957446809,15,16,23,0,0,7,5,15,0,0,10,7,8,0,0,1,10,13,0,0,3
"27",2020-02-18,60185,74472,2007,0.0269497260715437,14287,21,47,1,0.0212765957446809,26,10,23,0,0,13,5,15,0,0,10,7,8,0,0,1,10,13,0,0,3
"28",2020-02-19,58840,74893,2122,0.0283337561587865,16053,21,47,1,0.0212765957446809,26,8,23,0,0,15,5,15,0,0,10,7,8,0,0,1,10,13,0,0,3
"29",2020-02-20,57262,75367,2244,0.0297743044037841,18105,21,47,1,0.0212765957446809,26,8,23,0,0,15,5,15,0,0,10,7,8,0,0,1,10,13,0,0,3
"30",2020-02-21,57065,75876,2246,0.0296009278296167,18811,36,64,2,0.03125,28,8,23,0,0,15,4,15,0,0,11,6,9,0,0,3,10,15,0,0,5
"31",2020-02-22,54556,77362,2452,0.031695147488431,22806,81,110,3,0.0272727272727273,29,8,23,0,0,15,4,15,0,0,11,6,9,0,0,3,10,15,0,0,5
"32",2020-02-23,54109,77421,2457,0.0317355756190181,23312,173,203,4,0.0197044334975369,30,8,23,0,0,15,4,15,0,0,11,6,9,0,0,3,12,17,0,0,5
"33",2020-02-24,52536,77679,2611,0.0336126881139047,25143,248,277,8,0.0288808664259928,29,5,23,0,0,18,4,15,0,0,11,7,10,0,0,3,12,17,0,0,5
"34",2020-02-25,50473,78282,2686,0.0343118469124448,27809,345,381,11,0.0288713910761155,36,6,24,0,0,18,4,15,0,0,11,8,11,0,0,3,11,17,0,0,6
"35",2020-02-26,48524,78799,2741,0.0347847053896623,30275,501,540,14,0.0259259259259259,39,6,24,0,0,18,4,15,0,0,11,8,11,0,0,3,12,18,0,0,6
"36",2020-02-27,46270,79392,2778,0.034990931076179,33122,720,802,19,0.0236907730673317,82,7,25,0,0,18,4,15,0,0,11,7,13,0,0,6,13,19,0,0,6
"37",2020-02-28,43352,79904,2831,0.0354300160192231,36552,1008,1092,23,0.0210622710622711,84,8,27,0,0,19,5,16,0,0,11,8,14,0,0,6,12,19,0,0,7
"38",2020-02-29,40968,80585,2888,0.0358379350995843,39617,1378,1463,31,0.0211893369788107,85,13,32,0,0,19,15,26,0,0,11,14,20,0,0,6,21,28,1,0.0357142857142857,7
"39",2020-03-01,39110,81621,2935,0.0359588831305669,42511,2066,2188,36,0.0164533820840951,122,19,38,0,0,19,17,28,1,0.0357142857142857,11,18,24,0,0,6,40,47,1,0.0212765957446809,7
"40",2020-03-02,37109,82440,2989,0.0362566715186803,45331,2524,2712,55,0.0202802359882006,188,22,41,0,0,19,20,31,1,0.032258064516129,11,21,27,0,0,6,63,70,6,0.0857142857142857,7
"41",2020-03-03,35558,83497,3033,0.0363246583709594,47939,3132,3333,85,0.0255025502550255,201,28,52,0,0,24,29,40,1,0.025,11,24,30,0,0,6,86,93,7,0.0752688172043011,7
"42",2020-03-04,33584,84336,3087,0.0366035856573705,50752,3958,4277,114,0.0266541968669628,319,52,76,0,0,24,44,55,2,0.0363636363636364,11,27,33,0,0,6,122,129,11,0.0852713178294574,7
"43",2020-03-05,31963,85193,3134,0.0367870599697158,53230,5193,5650,159,0.028141592920354,457,54,78,0,0,24,37,58,2,0.0344827586206897,21,31,37,0,0,6,198,205,12,0.0585365853658537,7
"44",2020-03-06,31704,86768,3182,0.0366725059929928,55064,6801,7369,214,0.0290405753833627,568,107,131,0,0,24,43,64,2,0.03125,21,44,50,0,0,6,258,265,14,0.0528301886792453,7
"45",2020-03-07,30633,88089,3233,0.0367015177831511,57456,8818,9485,257,0.027095413811281,667,119,144,0,0,25,47,68,2,0.0294117647058824,21,47,55,0,0,8,379,386,17,0.0440414507772021,7
"46",2020-03-08,29296,89068,3313,0.037196299456595,59772,11248,11949,408,0.0341451167461712,701,164,191,1,0.00523560209424084,27,60,81,3,0.037037037037037,21,62,70,0,0,8,518,525,22,0.0419047619047619,7
"47",2020-03-09,28467,89930,3382,0.0376070276882019,61463,13876,14685,518,0.0352740892066735,809,190,217,1,0.00460829493087558,27,75,96,3,0.03125,21,79,87,1,0.0114942528735632,8,593,600,23,0.0383333333333333,7
"48",2020-03-10,28048,91278,3461,0.037917132277219,63230,17224,18044,711,0.0394036798935934,820,213,243,1,0.00411522633744856,30,91,112,3,0.0267857142857143,21,84,92,1,0.0108695652173913,8,806,814,29,0.0356265356265356,8
"49",2020-03-11,28183,93166,3552,0.0381254964257347,64983,21674,22985,952,0.0414183162932347,1311,219,277,1,0.0036101083032491,58,112,133,3,0.0225563909774436,21,127,135,2,0.0148148148148148,8,1237,1245,34,0.0273092369477912,8
"50",2020-03-12,28639,94885,3646,0.0384254624018549,66246,25071,26384,1145,0.0433975136446331,1313,230,296,2,0.00675675675675676,66,112,133,3,0.0225563909774436,21,152,160,2,0.0125,8,1704,1716,45,0.0262237762237762,12
"51",2020-03-13,29442,97004,3750,0.0386581996618696,67562,35729,37472,1524,0.0406703672075149,1743,341,408,6,0.0147058823529412,67,182,205,3,0.0146341463414634,23,256,264,2,0.00757575757575758,8,2450,2462,55,0.0223395613322502,12
"52",2020-03-14,30066,99112,3885,0.039198078940996,69046,42688,45304,1792,0.0395550061804697,2616,455,535,7,0.0130841121495327,80,233,256,3,0.01171875,23,284,292,2,0.00684931506849315,8,3238,3251,63,0.0193786527222393,13
"53",2020-03-15,29157,101216,4027,0.0397861998103067,72059,50648,53660,2274,0.0423779351472233,3012,707,788,8,0.0101522842639594,81,282,305,3,0.00983606557377049,23,361,369,2,0.00542005420054201,8,3399,3412,75,0.0219812426729191,13
"54",2020-03-16,30223,103232,4201,0.0406947458152511,73009,60569,64037,2749,0.0429283070724737,3468,965,1054,8,0.00759013282732448,89,362,385,3,0.00779220779220779,23,548,559,6,0.0107334525939177,11,5000,5019,102,0.0203227734608488,19
"55",2020-03-17,30941,105710,4368,0.0413205940781383,74769,70591,74762,3337,0.044634974987293,4171,1160,1262,13,0.0103011093502377,102,441,464,5,0.0107758620689655,23,649,661,7,0.010590015128593,12,7045,7069,138,0.0195218559909464,24
"56",2020-03-18,32750,108532,4587,0.0422640327276748,75782,82368,87776,3941,0.044898377688662,5408,1396,1510,19,0.0125827814569536,114,565,588,6,0.0102040816326531,23,860,872,12,0.0137614678899083,12,9946,10058,199,0.0197852455756612,112
"57",2020-03-19,34487,111402,4799,0.0430782212168543,76915,100172,106030,4741,0.0447137602565312,5858,1699,1848,23,0.0124458874458874,149,684,710,6,0.00845070422535211,26,1085,1097,15,0.0136736554238833,12,15626,15754,282,0.0179002158182049,128
"58",2020-03-20,36054,114813,4999,0.0435403656380375,78759,118880,125269,5893,0.0470427639719324,6389,2042,2211,31,0.0140208050655812,169,805,831,7,0.00842358604091456,26,1316,1328,18,0.0135542168674699,12,21541,21701,391,0.0180176028754435,160
