"","Date","Global_atm","Global_conf","Global_deaths","Global_incidence","Global_recovered"
"1",2020-01-23,623,653,18,0.0275650842266462,30
"2",2020-01-24,903,939,26,0.0276890308839191,36
"3",2020-01-25,1393,1432,42,0.0293296089385475,39
"4",2020-01-26,2063,2115,56,0.0264775413711584,52
"5",2020-01-27,2862,2923,82,0.0280533698255217,61
"6",2020-01-28,5467,5574,131,0.0235019734481521,107
"7",2020-01-29,6036,6162,133,0.0215839013307368,126
"8",2020-01-30,8087,8230,171,0.0207776427703524,143
"9",2020-01-31,9694,9916,213,0.0214804356595401,222
"10",2020-02-01,11742,12026,259,0.0215366705471478,284
"11",2020-02-02,16300,16772,362,0.0215835917004531,472
"12",2020-02-03,19249,19872,426,0.0214371980676329,623
"13",2020-02-04,23030,23882,492,0.0206012896742316,852
"14",2020-02-05,26500,27624,564,0.0204170286707211,1124
"15",2020-02-06,29292,30779,634,0.0205984599889535,1487
"16",2020-02-07,32300,34310,719,0.0209559895074322,2010
"17",2020-02-08,34429,37044,806,0.0217579095130116,2615
"18",2020-02-09,36829,40070,906,0.0226104317444472,3241
"19",2020-02-10,38663,42606,1013,0.0237759939914566,3943
"20",2020-02-11,39967,44647,1113,0.0249288865993236,4680
"21",2020-02-12,39882,45025,1118,0.0248306496390894,5143
"22",2020-02-13,53890,60178,1371,0.0227824121772076,6288
"23",2020-02-14,58611,66662,1523,0.0228465992619483,8051
"24",2020-02-15,59351,68737,1666,0.0242373103277711,9386
"25",2020-02-16,59994,70850,1770,0.0249823570924488,10856
"26",2020-02-17,60212,72785,1868,0.0256646287009686,12573
"27",2020-02-18,60238,74578,2008,0.0269248303789321,14340
"28",2020-02-19,58891,74999,2123,0.0283070440939213,16108
"29",2020-02-20,57313,75473,2245,0.0297457368860387,18160
"30",2020-02-21,57129,76002,2248,0.0295781689955527,18873
"31",2020-02-22,54665,77534,2455,0.0316635282585704,22869
"32",2020-02-23,54312,77688,2461,0.0316779940273916,23376
"33",2020-02-24,52812,78021,2619,0.0335678855692698,25209
"34",2020-02-25,50847,78730,2697,0.0342563190651594,27883
"35",2020-02-26,49055,79407,2755,0.034694674273049,30352
"36",2020-02-27,47021,80266,2797,0.0348466349388284,33245
"37",2020-02-28,44393,81072,2854,0.0352032761002566,36679
"38",2020-02-29,42409,82154,2920,0.035543004601115,39745
"39",2020-03-01,41270,83946,2973,0.0354156243299264,42676
"40",2020-03-02,39759,85321,3051,0.0357590745537441,45562
"41",2020-03-03,38857,87045,3126,0.0359124590728933,48188
"42",2020-03-04,37787,88906,3214,0.0361505410208535,51119
"43",2020-03-05,37476,91221,3307,0.0362526172701461,53745
"44",2020-03-06,38957,94647,3412,0.0360497427282428,55690
"45",2020-03-07,40043,98227,3509,0.0357233754466694,58184
"46",2020-03-08,41348,101884,3747,0.0367771190765969,60536
"47",2020-03-09,43280,105615,3928,0.0371916867869147,62335
"48",2020-03-10,46466,110583,4206,0.0380347793060416,64117
"49",2020-03-11,51552,117941,4544,0.0385277384454939,66389
"50",2020-03-12,55908,123574,4843,0.0391910919772768,67666
"51",2020-03-13,68400,137815,5340,0.0387475964154845,69415
