"","Date","Global_atm","Global_conf","Global_deaths","Global_incidence","Global_recovered"
"1",2020-01-23,0,0,0,0,0
"2",2020-01-24,280,286,8,0.000123946657272816,6
"3",2020-01-25,490,493,16,0.00164057805462842,3
"4",2020-01-26,670,683,14,-0.00285206756738909,13
"5",2020-01-27,799,808,26,0.00157582845436333,9
"6",2020-01-28,2605,2651,49,-0.00455139637736959,46
"7",2020-01-29,569,588,2,-0.00191807211741536,19
"8",2020-01-30,2051,2068,38,-0.000806258560384403,17
"9",2020-01-31,1607,1686,42,0.000702792889187766,79
"10",2020-02-01,2048,2110,46,5.62348876077083e-05,62
"11",2020-02-02,4558,4746,103,4.69211533052905e-05,188
"12",2020-02-03,2949,3100,64,-0.000146393632820284,151
"13",2020-02-04,3781,4010,66,-0.000835908393401214,229
"14",2020-02-05,3470,3742,72,-0.000184261003510527,272
"15",2020-02-06,2792,3155,70,0.000181431318232398,363
"16",2020-02-07,3008,3531,85,0.000357529518478727,523
"17",2020-02-08,2129,2734,87,0.000801920005579316,605
"18",2020-02-09,2400,3026,100,0.000852522231435664,626
"19",2020-02-10,1834,2536,107,0.00116556224700939,702
"20",2020-02-11,1304,2041,100,0.00115289260786698,737
"21",2020-02-12,-85,378,5,-9.82369602341854e-05,463
"22",2020-02-13,14008,15153,253,-0.00204823746188178,1145
"23",2020-02-14,4721,6484,152,6.41870847407182e-05,1763
"24",2020-02-15,740,2075,143,0.00139071106582273,1335
"25",2020-02-16,643,2113,104,0.000745046764677768,1470
"26",2020-02-17,218,1935,98,0.000682271608519767,1717
"27",2020-02-18,26,1793,140,0.00126020167796352,1767
"28",2020-02-19,-1347,421,115,0.00138221371498913,1768
"29",2020-02-20,-1578,474,122,0.00143869279211746,2052
"30",2020-02-21,-184,529,3,-0.000167567890485967,713
"31",2020-02-22,-2464,1532,207,0.00208535926301768,3996
"32",2020-02-23,-353,154,6,1.44657688211855e-05,507
"33",2020-02-24,-1500,333,158,0.00188989154187819,1833
"34",2020-02-25,-1965,709,78,0.000688433495889595,2674
"35",2020-02-26,-1792,677,58,0.000438355207889568,2469
"36",2020-02-27,-2034,859,42,0.000151960665779424,2893
"37",2020-02-28,-2628,806,57,0.00035664116142816,3434
"38",2020-02-29,-1984,1082,66,0.000339728500858422,3066
"39",2020-03-01,-1139,1792,53,-0.000127380271188596,2931
"40",2020-03-02,-1511,1375,78,0.00034345022381771,2886
"41",2020-03-03,-902,1724,75,0.000153384519149237,2626
"42",2020-03-04,-1070,1861,88,0.000238081947960156,2931
"43",2020-03-05,-311,2315,93,0.000102076249292642,2626
"44",2020-03-06,1481,3426,105,-0.000202874541903292,1945
"45",2020-03-07,1086,3580,97,-0.000326367281573391,2494
"46",2020-03-08,1305,3657,238,0.00105374362992747,2352
"47",2020-03-09,1932,3731,181,0.000414567710317823,1799
"48",2020-03-10,3186,4968,278,0.000843092519126877,1782
"49",2020-03-11,5086,7358,338,0.000492959139452319,2272
"50",2020-03-12,4356,5633,299,0.000663353531782838,1277
"51",2020-03-13,12492,14241,497,-0.000443495561792247,1749
"52",2020-03-14,8564,10935,412,-7.86888524593118e-05,2371
"53",2020-03-15,7590,11000,637,0.00132483265606712,3410
"54",2020-03-16,13113,14536,680,0.000566029355055904,1423
"55",2020-03-17,13160,15642,799,0.000866455100465298,2482
"56",2020-03-18,17058,19408,896,0.000439484042472869,2350
"57",2020-03-19,25868,27505,1102,-0.000209069874994035,1637
"58",2020-03-20,26885,29312,1473,0.000946675792722944,2427
"59",2020-03-21,27657,31922,1700,0.00114070952017924,4265
"60",2020-03-22,28150,32994,1690,0.00074519108412479,4844
"61",2020-03-23,41494,41960,1922,0.000148064972338748,466
"62",2020-03-24,31754,40784,2257,0.00105485609165467,9030
"63",2020-03-25,45040,50337,2771,0.00101474724746357,5297
"64",2020-03-26,54413,62356,3004,0.000173873743737507,7943
"65",2020-03-27,55402,63789,3513,0.000885190240393394,8387
"66",2020-03-28,58761,66980,3681,0.000732778264996098,8219
"67",2020-03-29,49836,59071,3452,0.000819620362626054,9235
"68",2020-03-30,49050,64272,4161,0.00126977760627447,15222
"69",2020-03-31,62389,75675,4872,0.00121890957161964,13286
"70",2020-04-01,60778,75680,5563,0.00176211512223196,14902
"71",2020-04-02,64030,80780,6325,0.00197252853084893,16750
"72",2020-04-03,67361,82602,6005,0.00129377817876312,15241
"73",2020-04-04,59790,79880,5865,0.00112742033793688,20090
"74",2020-04-05,57478,71145,5009,0.000710241837834961,13667
"75",2020-04-06,55812,72178,5876,0.00124461095838609,16366
"76",2020-04-07,53204,76414,8004,0.00245556664163014,23210
"77",2020-04-08,54638,83173,6762,0.00106500102446107,28535
"78",2020-04-09,60987,86026,7683,0.00142289887146961,25039
"79",2020-04-10,65455,87041,7270,0.00098377236817683,21586
"80",2020-04-11,50527,76542,6126,0.000628616411631477,26015
"81",2020-04-12,77068,96248,5730,-0.00036619996940998,19180
"82",2020-04-13,42199,69192,5789,0.000641718656513635,26993
"83",2020-04-14,44727,69517,6944,0.00117378598003842,24790
"84",2020-04-15,43879,80213,8395,0.0014423940203038,36334
"85",2020-04-16,65620,96083,7333,0.000312376527850683,30463
"86",2020-04-17,61346,87081,8906,0.00127506180827107,25735
"87",2020-04-18,49869,73528,6491,0.000554000474972977,23659
"88",2020-04-19,48481,79867,4533,-0.000495076996079216,31386
"89",2020-04-20,51283,72785,5466,0.000121282617676785,21502
"90",2020-04-21,40540,74978,7233,0.000751646424055438,34438
"91",2020-04-22,46446,76342,6782,0.000497078614291019,29896
"92",2020-04-23,60277,88567,6826,0.000154290613510952,28290
"93",2020-04-24,37121,86504,6707,0.000155596940470876,49383
"94",2020-04-25,57056,84558,5582,-0.000197208658365269,27502
"95",2020-04-26,44353,72558,3852,-0.000479615653553922,28205
"96",2020-04-27,41205,68424,4660,-8.90536415237009e-05,27219
"97",2020-04-28,42224,75033,6527,0.000367040174133679,32809
"98",2020-04-29,34950,76653,6746,0.000381682966131627,41703
"99",2020-04-30,18660,83163,5928,-3.57573707078646e-05,64503
"100",2020-05-01,48703,86585,5134,-0.000347427251284532,37882
"101",2020-05-02,40741,81272,5403,-0.000138615663878267,40531
"102",2020-05-03,45301,77125,3399,-0.000621627270511335,31824
"103",2020-05-04,42187,75676,4112,-0.000365529259831285,33489
"104",2020-05-05,43562,79607,5898,6.39499258665299e-05,36045
"105",2020-05-06,44105,89547,6551,4.62937522833357e-05,45442
"106",2020-05-07,49528,88554,5323,-0.000259009319872383,39026
"107",2020-05-08,55055,91120,5528,-0.000241276715862784,36065
"108",2020-05-09,32146,85212,4194,-0.000459947161478527,53066
"109",2020-05-10,42365,75589,3522,-0.000440630633055036,33224
"110",2020-05-11,29329,75811,3441,-0.000447819940604763,46482
"111",2020-05-12,46778,83176,5529,-5.80984896083186e-05,36398
"112",2020-05-13,28777,84295,5173,-0.000156390077935525,55518
"113",2020-05-14,57424,96716,5184,-0.000342445457798699,39292
"114",2020-05-15,48235,95783,5191,-0.000311996481972318,47548
"115",2020-05-16,38661,94879,4088,-0.000525374462411396,56218
"116",2020-05-17,39520,78167,3225,-0.000447378843283067,38647
"117",2020-05-18,35742,87606,3275,-0.000555183996532121,51864
"118",2020-05-19,44017,95725,4725,-0.000347929785824375,51708
"119",2020-05-20,44417,102555,4843,-0.000402009005020812,58138
"120",2020-05-21,55071,105927,4727,-0.000452440245607394,50856
"121",2020-05-22,-1891,106369,5204,-0.000347355383982659,108260
"122",2020-05-23,50100,104629,3929,-0.000553335008972658,54529
"123",2020-05-24,39723,94722,3082,-0.00057072063530772,54999
"124",2020-05-25,23163,86534,1161,-0.000806998505133022,63371
"125",2020-05-26,37340,92134,4196,-0.000298693852736065,54794
"126",2020-05-27,38983,101895,5192,-0.000221511058374743,62912
"127",2020-05-28,52164,118678,4623,-0.000494753648146717,66514
"128",2020-05-29,43554,120423,4637,-0.000490822825323707,76869
"129",2020-05-30,67156,137175,4073,-0.000735648394301694,70019
"130",2020-05-31,31822,106958,2830,-0.000607113833505431,75136
"131",2020-06-01,40182,94577,3038,-0.00043356889231444,54395
"132",2020-06-02,16641,120379,4736,-0.000396400682400905,103738
"133",2020-06-03,39920,118696,5472,-0.000252493474416825,78776
"134",2020-06-04,56675,126326,5108,-0.000367202892052443,69651
"135",2020-06-05,61403,130111,4645,-0.000455336326739282,68708
"136",2020-06-06,63206,135116,3810,-0.000602248188656257,71910
"137",2020-06-07,56671,111552,2710,-0.000542068589853326,54881
"138",2020-06-08,-49935,101251,3689,-0.000303534983364426,151186
"139",2020-06-09,41675,123730,4824,-0.000315454418673471,82055
"140",2020-06-10,54454,133220,5102,-0.000340293665580901,78766
"141",2020-06-11,51519,136971,4689,-0.000411726944744804,85452
"142",2020-06-12,48741,128114,4224,-0.000392960183535927,79373
"143",2020-06-13,49469,134950,4156,-0.00043778194751929,85481
"144",2020-06-14,62224,132658,3349,-0.000509314306664836,70434
"145",2020-06-15,39602,118846,3393,-0.000392743720411474,79244
"146",2020-06-16,43119,140595,6731,-0.00011543940645721,97476
"147",2020-06-17,22398,140881,5151,-0.000304502703642226,118483
"148",2020-06-18,57958,138886,4955,-0.000304838806441318,80928
"149",2020-06-19,85206,179722,6163,-0.00040881963011774,94516
"150",2020-06-20,40939,156184,4169,-0.000477384868985735,115245
"151",2020-06-21,58570,126909,3962,-0.000310755287750451,68339
"152",2020-06-22,44817,136043,3528,-0.000403254130127588,91226
"153",2020-06-23,60205,163784,5228,-0.00036266106108164,103579
"154",2020-06-24,54714,169711,5170,-0.000388834776868657,114997
"155",2020-06-25,84689,176726,4698,-0.000462227517717823,92037
"156",2020-06-26,83586,189782,4701,-0.00051308293853676,106196
"157",2020-06-27,70455,176291,4419,-0.000453672399361713,105836
"158",2020-06-28,71237,159497,3068,-0.000489351495021446,88260
"159",2020-06-29,62704,156687,3690,-0.000399530286064119,93983
"160",2020-06-30,55377,172011,5013,-0.000331919870668294,116634
"161",2020-07-01,100049,215242,4925,-0.000527486425848052,115193
"162",2020-07-02,-78654,205452,5054,-0.000451149289614906,284106
"163",2020-07-03,92317,201580,4898,-0.000431782490280544,109263
"164",2020-07-04,-4079,191175,4335,-0.000422849779031197,195254
"165",2020-07-05,61222,179922,3429,-0.000442239299128004,118700
"166",2020-07-06,42578,165138,3778,-0.000339037359529677,122560
"167",2020-07-07,64727,209293,5997,-0.000312994067522422,144566
"168",2020-07-08,52610,208939,5248,-0.000363373050263086,156329
"169",2020-07-09,91969,225490,5391,-0.000400566418903951,133521
"170",2020-07-10,91499,229586,5271,-0.000410449399122131,138087
"171",2020-07-11,87814,212952,4739,-0.000379254828521289,125138
"172",2020-07-12,79183,189436,3917,-0.000350098738039352,110253
"173",2020-07-13,51793,190432,3819,-0.000350777713473707,138639
"174",2020-07-14,78909,219841,5574,-0.000304197000871767,140932
"175",2020-07-15,69024,227723,5404,-0.000332126079002959,158699
"176",2020-07-16,98507,249950,5725,-0.000366904438673446,151443
"177",2020-07-17,56934,238649,6636,-0.000254051353857872,181715
"178",2020-07-18,79929,223175,4833,-0.000326813612500622,143246
"179",2020-07-19,125646,209762,3874,-0.000344457265972695,84116
"180",2020-07-20,46887,204697,4147,-0.000301416161771477,157810
"181",2020-07-21,58579,230225,6111,-0.000231273617076533,171646
"182",2020-07-22,102793,276919,6868,-0.00030082328675677,174126
"183",2020-07-23,112101,277646,9810,-0.000100268089715264,165545
"184",2020-07-24,50473,278153,5990,-0.000342410426802699,227680
"185",2020-07-25,35240,251819,5468,-0.000296809653522093,216579
"186",2020-07-26,73306,209325,3600,-0.000298395107156631,136019
"187",2020-07-27,57431,223417,5108,-0.000232463777428998,165986
"188",2020-07-28,79463,249728,6240,-0.000220396940463205,170265
"189",2020-07-29,87904,285480,6545,-0.000278862176384578,197576
"190",2020-07-30,58371,276827,5945,-0.000284980655901608,218456
"191",2020-07-31,91907,286883,6153,-0.000286229862253885,194976
"192",2020-08-01,66080,247323,5436,-0.00023185243291856,181243
"193",2020-08-02,91999,226323,4219,-0.000248779098629373,134324
"194",2020-08-03,-20187,200155,4288,-0.000184044448318134,220342
"195",2020-08-04,36937,255844,6858,-0.000154341153714377,218907
"196",2020-08-05,49790,268069,6913,-0.000171815338864838,218279
"197",2020-08-06,95954,282265,6426,-0.000220794675415206,186311
"198",2020-08-07,88091,277849,6270,-0.000213883870912833,189758
"199",2020-08-08,58127,257011,5351,-0.000215494031014035,198884
"200",2020-08-09,47873,222033,4498,-0.000187976444437375,174160
"201",2020-08-10,64058,225639,4858,-0.000172290794773627,161581
"202",2020-08-11,-50079,252483,6387,-0.000140962428788666,302562
"203",2020-08-12,35840,274364,6572,-0.000167284639912869,238524
"204",2020-08-13,120987,283243,6181,-0.000197224947574126,162256
"205",2020-08-14,19890,301212,10097,-3.59998547668286e-05,281322
"206",2020-08-15,79520,245520,5293,-0.000166911192289045,166000
"207",2020-08-16,-17918,210446,4154,-0.000157878752626288,228364
"208",2020-08-17,-646,208108,4087,-0.000154069727270924,208754
"209",2020-08-18,28171,252823,6855,-9.69615638240565e-05,224652
"210",2020-08-19,57308,271924,6737,-0.00013049316512212,214616
"211",2020-08-20,59535,264839,6006,-0.000148804566551017,205304
"212",2020-08-21,100608,267622,5900,-0.000154289373676543,167014
"213",2020-08-22,54671,252291,5132,-0.000160884581341864,197620
"214",2020-08-23,-8609,214804,4220,-0.000140667182776055,223413
"215",2020-08-24,26796,225171,4325,-0.000148900095681331,198375
